Symbol,Name,description
LMT,Lockheed Martin Corp.,"Lockheed Martin Corporation, a security and aerospace company, engages in the research, design, development, manufacture, integration, and sustainment of technology systems, products, and services worldwide. It operates through four segments: Aeronautics, Missiles and Fire Control (MFC), Rotary and Mission Systems (RMS), and Space. The Aeronautics segment offers combat and air mobility aircraft, unmanned air vehicles, and related technologies. The MFC segment provides air and missile defense systems; tactical missiles and air-to-ground precision strike weapon systems; logistics; fire control systems; mission operations support, readiness, engineering support, and integration services; manned and unmanned ground vehicles; and energy management solutions. The RMS segment offers military and commercial helicopters; ship and submarine mission and combat systems; mission systems and sensors for rotary and fixed-wing aircraft; sea and land-based missile defense systems; radar systems; the Littoral combat ship; simulation and training services; and unmanned systems and technologies. It also supports government customers in cybersecurity; and delivers communications, and command and control capabilities through mission solutions for defense applications. The Space segment provides satellites, strategic and defensive missile systems, and space transportation systems; and classified systems and services in support of national security systems. This segment also offers network-enabled situational awareness services; and integrates space and ground-based systems to help its customers gather, analyze, and securely distribute critical intelligence data. Lockheed Martin Corporation was founded in 1909 and is based in Bethesda, Maryland."
L,Loews Corp.,"Loews Corporation, through its subsidiaries, provides commercial property and casualty insurance in the United States, Canada, the United Kingdom, Continental Europe, and Singapore. The company offers management and professional liability insurance and risk management services, and other specialized property and casualty coverages; commercial surety and fidelity bonds; and warranty and alternative risk services primarily for vehicles and cell phones. Its commercial property insurance products include standard and excess property, marine, and boiler and machinery coverages; and casualty insurance products comprise workers' compensation, general and product liability, commercial auto, and umbrella coverages. The company also provides loss-sensitive insurance programs; and risk management, information, and claims administration services. It markets its insurance products and services primarily through independent agents, brokers, and managing general underwriters. In addition, the company owns and operates 17 offshore drilling rigs consisting of 4 drillships; and 7 ultra-deepwater, 4 deepwater, and 2 mid-water semisubmersible rigs. Further, it is involved in the transportation and storage of natural gas and natural gas liquids (NGLs). It owns and operates natural gas pipelines covering approximately 13,880 miles of interconnected pipelines; approximately 455 miles of NGL pipelines in Louisiana and Texas; and underground storage fields with aggregate working gas capacity of approximately 205.0 billion cubic feet of natural gas. Additionally, it operates 24 hotels in the United States and Canada. The company was founded in 1954 and is headquartered in New York, New York."
LOW,Lowe's Cos.,"Lowe's Companies, Inc., together with its subsidiaries, operates as a home improvement retailer in the United States, Canada, and Mexico. It offers a line of products for maintenance, repair, remodeling, and decorating. The company provides home improvement products in various categories, such as lumber and building materials, tools and hardware, appliances, fashion fixtures, rough plumbing and electrical, seasonal and outdoor living, lawn and garden, paint, millwork, flooring, and kitchens, as well as outdoor power equipment. It also offers installation services through independent contractors in various product categories; extended protection plans; and in-warranty and out-of-warranty repair services. The company sells its national brand-name merchandise and private branded products to homeowners, renters, and professional customers. As of November 5, 2018, it operated 2,390 home improvement and hardware stores. The company also sells its products through online sites comprising Lowes.com and Lowesforpros.com; and through mobile applications. Lowe's Companies, Inc. was founded in 1946 and is based in Mooresville, North Carolina."
LYB,LyondellBasell,"LyondellBasell Industries N.V. operates as a chemical company worldwide. The company operates in five segments: Olefins and Polyolefins<U+0097>Americas; Olefins and Polyolefins<U+0097>Europe, Asia, International; Intermediates and Derivatives; Refining; and Technology. It produces and markets olefins and co-products; polyethylene products, which consist of high density polyethylene, low density polyethylene, and linear low density polyethylene; and polypropylene (PP) products, such as PP homopolymers, copolymers, and compounds. The company also produces and sells propylene oxide and its derivatives; oxyfuels and related products; and intermediate chemicals, such as styrene monomers, methanol products, glacial acetic acids, vinyl acetate monomers, and ethylene oxides and derivatives. In addition, it refines crude oil and other crude oils of varied types and sources into gasoline, diesel, and jet fuel; develops and licenses chemical and polyolefin process technologies; and manufactures and sells polyolefin catalysts, as well as purchases and sells ethylene. LyondellBasell Industries N.V. was founded in 2005 and is based in London, the United Kingdom."
MTB,M&T Bank Corp.,"M&T Bank Corporation operates as the holding company for Manufacturers and Traders Trust Company; and Wilmington Trust, National Association that provide retail and commercial banking services. The company's Business Banking segment offers deposit, lending, cash management, and other financial services to small businesses and professionals. Its Commercial Banking segment provides commercial lending and leasing, letters of credit, deposit products, and cash management services to middle-market and large commercial customers. The company's Commercial Real Estate segment offers credit services, which are secured by various multifamily residential and commercial real estates; and deposit services. Its Discretionary Portfolio segment provides securities, residential real estate loans, and other assets; short-term and long-term borrowed funds; brokered deposits; and the Cayman Islands branch deposits, as well as foreign exchange services. The company's Residential Mortgage Banking segment originates and services residential real estate loans for consumers and sells those loans in the secondary market; and purchases servicing rights to loans originated by other entities. Its Retail Banking segment offers demand, savings, and time accounts; consumer installment loans, automobile and recreational vehicle loans, home equity loans and lines of credit, and credit cards; investment products, including mutual funds and annuities; and other services. The company also provides trust and wealth management; fiduciary and custodial; investment management and advisory; and insurance agency services. It offers its services through banking offices, business banking centers, telephone and Internet banking, and automated teller machines. As of December 31, 2017, the company had 780 banking offices in the United States, a commercial banking office in Canada, and an office in the Cayman Islands. M&T Bank Corporation was founded in 1856 and is headquartered in Buffalo, New York."
MAC,Macerich,"Macerich, an S&P 500 company, is a fully integrated self-managed and self-administered real estate investment trust, which focuses on the acquisition, leasing, management, development and redevelopment of regional malls throughout the United States. Macerich currently owns 52 million square feet of real estate consisting primarily of interests in 48 regional shopping centers. Macerich specializes in successful retail properties in many of the country's most attractive, densely populated markets with significant presence in the Pacific Rim, Arizona, Chicago, and the New York Metro area to Washington DC corridor. A recognized leader in sustainability, Macerich has earned NAREIT's prestigious ""Leader in the Light"" award every year from 2014-2017. For the third straight year in 2017 Macerich achieved the #1 GRESB ranking in the North American Retail Sector, among many other environmental accomplishments."
M,Macy's Inc.,"Macy's, Inc., an omni-channel retail organization, operates stores, Websites, and mobile applications. The company sells a range of merchandise, such as apparel and accessories for men, women, and children; cosmetics; home furnishings; and other consumer goods. As of April 4, 2018, it operated approximately 690 department stores under the Macy's and Bloomingdale's brands; 160 specialty stores under the Bloomingdale's The Outlet, Bluemercury, and Macy's Backstage brands in the District of Columbia, Guam, and Puerto Rico; and Websites, including macys.com, bloomingdales.com, and bluemercury.com. The company also operates as a beauty products and spa retailer. The company was formerly known as Federated Department Stores, Inc. and changed its name to Macy's, Inc. in June 2007. Macy's, Inc. was founded in 1830 and is based in Cincinnati, Ohio."
MRO,Marathon Oil Corp.,"Marathon Oil Corporation operates as an energy company in the United States, Equatorial Guinea, the United Kingdom, and Libya. It operates in two segments, United States E&P and International E&P. The company engages in the exploration, production, and marketing of crude oil and condensate, natural gas liquids, and natural gas; and the production and marketing of products manufactured from natural gas, such as liquefied natural gas and methanol. As of December 31, 2017, it had estimated proved developed reserves totaling 903 million barrels of oil equivalent (mmboe); and estimated proved undeveloped reserves totaling 546 mmboe. The company was formerly known as USX Corporation and changed its name to Marathon Oil Corporation in July 2001. Marathon Oil Corporation was founded in 1887 and is headquartered in Houston, Texas."
MPC,Marathon Petroleum,"Marathon Petroleum Corporation, together with its subsidiaries, engages in refining, marketing, retailing, and transporting petroleum products primarily in the United States. It operates through three segments: Refining & Marketing, Speedway, and Midstream. It refines crude oil and other feed stocks at its six refineries in the Gulf Coast and Midwest regions of the United States; and purchases refined products and ethanol for resale. Its refined products include gasoline, distillates, propane, feed stocks and special products, heavy fuel oil, and asphalt. It also sells transportation fuels and convenience products in the retail market through Speedway convenience stores; gathers, processes, and transports natural gas; gathers, transports, fractionates, stores, and markets natural gas liquids (NGLs); and transports and stores crude oil and refined products. It markets its refined products to resellers, consumers, independent retailers, wholesale customers, its Marathon brand jobbers and Speedway brand convenience stores, airlines, transportation companies, and utilities. It also exports its refined products. As of December 31, 2017, it owned and operated 18 asphalt terminals and 61 light products terminals; 2,744 convenience stores in 21 states; 289 transport trucks and 296 trailers; 1,999 leased and 19 owned railcars; and owned/leased and operated 1,613 miles of common carrier crude oil and 2,360 miles of common carrier products pipelines, as well as had 5,617 retail outlets in 20 states and the District of Columbia, and interests in 2,194 miles of crude oil and 1,917 miles of products pipelines. It also owns and operates 228 miles of private products pipelines; has ownership interests in 739 miles of common carrier crude oil pipeline and 1,741 miles of products pipelines; and distributes refined products through approximately 130 light products and 2 asphalt third-party terminals. The company was incorporated in 2009 and is headquartered in Findlay, Ohio."
MAR,Marriott Int'l.,"Marriott International, Inc. operates, franchises, and licenses hotel, residential, and timeshare properties worldwide. The company operates through three segments: North American Full-Service, North American Limited-Service, and Asia Pacific. It operates its properties under the JW Marriott, The Ritz-Carlton, W Hotels, The Luxury Collection, St. Regis, EDITION, Bulgari, Marriott Hotels, Sheraton, Westin, Renaissance, Le Méridien, Autograph Collection, Delta Hotels, Gaylord Hotels, Marriott Executive Apartments, Marriott Vacation Club, Tribute Portfolio, Design Hotels, Courtyard, Residence Inn, Fairfield Inn & Suites, SpringHill Suites, Four Points, TownePlace Suites, Aloft, AC Hotels by Marriott, Protea Hotels, Element, and Moxy brand names. As of October 9, 2018, it operated approximately 6,700 properties under 30 hotel brands in 130 countries and territories. Marriott International, Inc. was founded in 1927 and is headquartered in Bethesda, Maryland."
MMC,Marsh & McLennan,"Marsh & McLennan Companies, Inc., a professional services firm, provides advice and solutions in the areas of risk, strategy, and people worldwide. It operates in two segments, Risk and Insurance Services, and Consulting. The Risk and Insurance Services segment offers risk management services, such as risk advice, risk transfer, and risk control and mitigation solutions, as well as insurance, reinsurance broking, catastrophe and financial modeling, and related advisory services. This segment serves businesses, public entities, insurance companies, associations, professional services organizations, and private clients. The Consulting segment provides health, retirement, talent, and investments consulting services and products; and specialized management, and economic and brand consulting services. The company was founded in 1871 and is headquartered in New York, New York."
MLM,Martin Marietta Materials,"Martin Marietta Materials, Inc., a natural-resource-based building materials company, supplies aggregates and heavy building materials to the construction industry in the United States and internationally. The company provides crushed stone, sand, and gravel products; ready mixed concrete, and asphalt and paving products; and Portland and specialty cement for use in the infrastructure projects, and nonresidential and residential construction markets, as well as in the railroad, agricultural, utility, and environmental industries. It also manufactures and markets magnesia-based chemical products for the industrial, agricultural, and environmental applications; and dolomitic lime primarily for customers in the steel and mining industries, as well as provides road paving construction services. The company's chemical products are used in flame retardants, wastewater treatment, pulp and paper production, and other environmental applications. Martin Marietta Materials, Inc. was founded in 1993 and is headquartered in Raleigh, North Carolina."
MAS,Masco Corp.,"Masco Corporation designs, manufactures, and distributes home improvement and building products worldwide. Its Plumbing Products segment offers faucets, showerheads, handheld showers, valves, bath hardware and accessories, bathing units, shower enclosures, toilets, acrylic tubs, shower trays, spas products, exercise pools, brass and copper plumbing system components, and other non-decorative plumbing products. This segment offers its products under the DELTA, BRIZO, PEERLESS, HANSGROHE, AXOR, GINGER, NEWPORT BRASS, BRASSTECH, WALTEC, BRISTAN, HERITAGE, MIROLIN, HOT SPRING, CALDERA, FREEFLOW SPAS, FANTASY SPAS, ENDLESS POOLS, BRASSCRAFT, PLUMB SHOP, COBRA, COBRA PRO, and MASTER PLUMBER brands. The company's Decorative Architectural Products segment provides architectural coatings, including paints, primers, specialty paints, stains, and waterproofing products; cabinet, door, and window hardware; and functional hardware, glass shower doors, wall plates, hook and rail products, and picture hanging accessories, as well as decorative bath hardware, and shower accessories and doors. This segment provides its products under the BEHR, KILZ, LIBERTY, BRAINERD, DELTA, and FRANKLIN BRASS brands. Its Cabinetry Products segment offers assembled cabinetry for kitchen, bath, storage, home office, and home entertainment applications under the KRAFTMAID, CARDELL, MERILLAT, and QUALITY CABINETS brands. The company's Windows and Other Specialty Products segment provides vinyl, fiberglass, and aluminum windows and patio doors; and vinyl windows, and composite and panel doors under the MILGARD, DURAFLEX, GRIFFIN, PREMIER, and EVOLUTION. It offers its products through home center retailers, online retailers, mass merchandisers, hardware stores, homebuilders, distributors, and other outlets to consumers and contractors, as well as directly to consumers. The company was founded in 1929 and is headquartered in Livonia, Michigan."
MA,Mastercard Inc.,"Mastercard Incorporated, a technology company, provides transaction processing and other payment-related products and services in the United States and internationally. It facilitates the processing of payment transactions, including authorization, clearing, and settlement, as well as delivers related products and services. The company also offers value-added services, such as safety and security products, loyalty and reward programs, information and consulting services, issuer and acquirer processing solutions, and payment and mobile gateways. In addition, it provides various integrated products and services for account holders, merchants, financial institutions, businesses, governments, and other organizations; programs that enable issuers to provide consumers with cards to defer payments; payment products and solutions that allow its customers to access funds in deposit and other accounts; prepaid payment programs and management services; and commercial payment products and solutions. Further, the company provides products and services to prevent, detect, and respond to fraud and cyber-attacks, and ensure the safety of transactions. It offers payment solutions and services under the MasterCard, Maestro, and Cirrus brands. Mastercard Incorporated has a strategic partnership with Bahrain Commercial Facilities Company BSC; and strategic agreement with Wirecard AG. The company was founded in 1966 and is headquartered in Purchase, New York."
MAT,Mattel Inc.,"Mattel, Inc. designs, manufactures, and markets a range of toy products worldwide. The company operates in three segments: North America, International, and American Girl. It offers Mattel Girls & Boys branded products, including Barbie dolls and accessories, Monster High, DC Super Hero Girls, Enchantimals, Polly Pocket, Hot Wheels and Matchbox vehicles and play sets, CARS, DC Comics, WWE Wrestling, Minecraft, Toy Story, and games and puzzles. The company also provides Fisher-Price branded products, such as Fisher-Price, Little People, BabyGear, Laugh & Learn, Imaginext, Thomas & Friends, Shimmer and Shine, Mickey Mouse Clubhouse, and Power Wheels. In addition, it offers American Girl branded products comprising Truly Me, Girl of the Year, BeForever, Bitty Baby, and WellieWishers; and construction, and arts and crafts branded products, such as MEGA BLOKS and RoseArt, as well as publishes the American Girl magazine. The company sells its products directly to consumers through its catalog, Website, and proprietary retail stores; retailers, including discount and free-standing toy stores, chain stores, department stores, and other retail outlets; and wholesalers, as well as through agents and distributors. Mattel, Inc. was founded in 1945 and is headquartered in El Segundo, California."
MKC,McCormick & Co.,"McCormick & Company, Incorporated manufactures, markets, and distributes spices, seasoning mixes, condiments, and other flavorful products to the food industry. The company operates through two segments, Consumer and Industrial. The Consumer segment offers spices, herbs, and seasonings, as well as desserts. This segment markets its products under the McCormick, French, Frank's RedHot, Lawry's, Club House, Gourmet Garden, OLD BAY brands in the Americas; Ducros, Schwartz, Kamis, and Drogheria & Alimentari, and Vahiné brand names in Europe, the Middle East, and Africa; McCormick and DaQiao brands in China; and McCormick, Aeroplane, and Gourmet Garden brand names in Australia, as well as markets regional and ethnic brands, such as Zatarain's, Stubb's, Thai Kitchen, and Simply Asia. It also supplies its products under the private labels. This segment serves retailers comprising grocery, mass merchandise, warehouse clubs, discount and drug stores, and e-commerce retailers directly and indirectly through distributors or wholesalers. The Industrial segment offers seasoning blends, spices and herbs, condiments, coating systems, and compound flavors to multinational food manufacturers and foodservice customers. It serves foodservice customers directly and indirectly through distributors. McCormick & Company, Incorporated was founded in 1889 and is headquartered in Hunt Valley, Maryland."
MCD,McDonald's Corp.,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. Its restaurants offer various food products, soft drinks, coffee, and other beverages, as well as breakfast menu. As of December 31, 2017, the company operated 37,241 restaurants, including 34,108 franchised restaurants comprising 21,366 franchised to conventional franchisees, 6,945 licensed to developmental licensees, and 5,797 licensed to foreign affiliates; and 3,133 company-operated restaurants. McDonald's Corporation was founded in 1940 and is headquartered in Chicago, Illinois."
MCK,McKesson Corp.,"McKesson Corporation provides pharmaceuticals and medical supplies in the United States and internationally. It operates in three segments: U.S. Pharmaceutical and Specialty Solutions, European Pharmaceutical Solutions, and Medical-Surgical Solutions. The company distributes branded, generic, specialty, biosimilar, and over-the-counter pharmaceutical drugs, as well as other healthcare-related products; and offers practice management, technology, clinical support, and business solutions to community-based oncology and other specialty practices. It also provides specialty pharmaceutical solutions for pharmaceutical manufacturers; and medical-surgical supply distribution, logistics, and other services to healthcare providers. In addition, the company operates retail pharmacy chains in Europe and Canada, as well as supports independent pharmacy networks within North America and Europe; and supplies integrated pharmacy management systems, automated dispensing systems, and related services to retail, outpatient, central fill, specialty, and mail order pharmacies. Further, it provides software and analytics, network solutions, and technology-enabled services. The company serves retail national accounts, including national and regional chains, food and drug combinations, mail order pharmacies, and mass merchandisers; independent retail pharmacies; and institutional healthcare providers, such as hospitals, health systems, integrated delivery networks, and long-term care providers, as well as pharmaceutical manufacturers. McKesson Corporation was founded in 1833 and is headquartered in San Francisco, California."
MDT,Medtronic plc,"Medtronic plc develops, manufactures, distributes, and sells device-based medical therapies to hospitals, physicians, clinicians, and patients worldwide. It operates through four segments: Cardiac and Vascular Group, Minimally Invasive Therapies Group, Restorative Therapies Group, and Diabetes Group. The Cardiac and Vascular Group segment offers implantable cardiac pacemakers, cardioverter defibrillators, and cardiac resynchronization therapy devices; AF ablation product; insertable cardiac monitor systems; mechanical circulatory support; TYRX products; and remote monitoring and patient-centered software. It also provides aortic valves; percutaneous coronary intervention stents, surgical valve replacement and repair products, endovascular stent grafts, percutaneous angioplasty balloons, and products to treat superficial venous diseases in the lower extremities. The Minimally Invasive Therapies Group segment offers surgical products, including surgical stapling devices, vessel sealing instruments, wound closure, electrosurgery products, hernia mechanical devices, mesh implants, and gynecology products; hardware instruments and mesh fixation device; and gastrointestinal, inhalation therapy, and renal care solutions. The Restorative Therapies Group segment offers products for spinal surgeons, neurosurgeons, neurologists, pain management specialists, anesthesiologists, orthopedic surgeons, urologists, colorectal surgeons, urogynecologists, interventional radiologists, and ear, nose, and throat specialists; and systems that incorporate energy surgical instruments. It also provides image-guided surgery and intra-operative imaging systems; and therapies for vasculature in and around the brain. The Diabetes Group segment offers insulin pumps and consumables, continuous glucose monitoring systems, and therapy management software. The company was founded in 1949 and is headquartered in Dublin, Ireland."
MRK,Merck & Co.,"Merck & Co., Inc. provides healthcare solutions worldwide. It operates in four segments: Pharmaceutical, Animal Health, Healthcare Services, and Alliances. The company offers therapeutic agents to treat cardiovascular, type 2 diabetes, asthma, nasal allergy, allergic rhinitis, chronic hepatitis C virus, HIV-1 infection, fungal, intra-abdominal, hypertension, arthritis and pain, inflammatory, osteoporosis, and fertility diseases. It also provides neuromuscular blocking agents; cholesterol modifying medicines; and anti-bacterial and vaginal contraceptive products. In addition, the company offers products to prevent chemotherapy-induced and post-operative nausea and vomiting; treat brain tumors, and metastatic non-small-cell lung cancer; prevent diseases caused by human papillomavirus; and vaccines for measles, mumps, rubella, varicella, shingles, rotavirus gastroenteritis, and pneumococcal diseases. Further, it offers antibiotic and anti-inflammatory drugs to treat infectious and respiratory diseases, fertility disorders, and pneumonia in cattle, horses, and swine; vaccines for poultry; parasiticide for sea lice in salmon; and antibiotics and vaccines for fishes. The company also provides companion animal products, such as ointments; diabetes mellitus; anthelmintic products; fluralaner products to treat fleas and ticks in dogs; and products for protection against bites from fleas, ticks, mosquitoes, and sandflies. It has collaborations with Pfizer Inc.; AstraZeneca PLC; Bayer AG; Eisai Co., Ltd.; IO Biotech; Premier Inc.; Cue Biopharma, Inc.; Foundation Medicine, Inc.; Daiichi Sankyo Company, Limited; Cold Genesys, Inc.; Kyn Therapeutics; Adlai Nortye Ltd.; Cocrystal Pharma, Inc.; and Instituto Butantan. It serves drug wholesalers and retailers, hospitals, government agencies and entities, physicians, distributors, veterinarians, animal producers, and managed health care providers. The company was founded in 1891 and is headquartered in Kenilworth, New Jersey."
MET,MetLife Inc.,"MetLife, Inc. engages in the insurance, annuities, employee benefits, and asset management businesses. It operates through five segments: U.S.; Asia; Latin America; Europe, the Middle East and Africa; and MetLife Holdings. The company offers life, dental, group short- and long-term disability, individual disability, accidental death and dismemberment, vision, and accident and health coverages, as well as prepaid legal plans; administrative services-only arrangements to employers; and stable value products, including general and separate account guaranteed interest contracts, and private floating rate funding agreements. It also provides pension risk transfers, institutional income annuities, tort settlements, and capital markets investment products; and other products and services, such as life insurance products and funding agreements for funding postretirement benefits, as well as company, bank, or trust-owned life insurance used to finance nonqualified benefit programs for executives. In addition, the company offers automobile, homeowners', and personal excess liability, as well as small business owners' property, liability, and business interruption insurance products. Further, it provides fixed annuities and pension products; medical and credit insurance products; variable, universal, term, endowment, and whole life insurance products; variable, and fixed and indexed-linked annuities; and protection against costs of long-term health care services. MetLife, Inc. has a strategic alliance with Ernst & Young LLP. The company serves individuals, corporations and their employees, and other institutions through independent agents, property and casualty specialists, sales forces, sales teams and relationship managers, and other organizations, as well as through career agency, bancassurance, direct marketing, brokerage, and other third-party distribution and e-commerce channels. MetLife, Inc. was founded in 1863 and is headquartered in New York, New York."
MTD,Mettler Toledo,"Mettler-Toledo International Inc. manufactures and supplies precision instruments and services worldwide. The company operates in five segments: U.S. Operations, Swiss Operations, Western European Operations, Chinese Operations, and Other. It offers weighing instruments for laboratory, industrial, packaging, logistics, and food retailing applications; analytical instruments for use in life science; various related analytical instruments and provides automated chemistry solutions used in drug and chemical compound discovery and development; and end-of-line product inspection systems used in production and packaging for food processing and packaging, pharmaceutical, packaged consumer goods, and other industries. Its laboratory instruments include laboratory balances, liquid pipetting solutions, automated laboratory reactors, titrators, physical value analyzers, and thermal analysis systems, as well as other analytical instruments; and LabX, a PC-based laboratory embedded software platform. The company's industrial solutions comprise industrial weighing instruments and terminals, automatic dimensional measurement and data capture solutions, vehicle scale systems, industrial software, and product inspection systems. Its retail weighing solutions consist of multiple weighing and food labeling solutions, stand-alone scales, and networked scales and software for handling fresh goods, such as meats, vegetables, fruits, and cheeses. The company serves the life science industry covering pharmaceutical and biotechnology companies, and independent research organizations; food and beverage producers; food retailers; chemical, specialty chemical, and cosmetics companies; transportation and logistics, metals, and electronics industries; and the academic community. The company markets its products through its direct sales force and indirect distribution channels. Mettler-Toledo International Inc. was founded in 1991 and is based in Columbus, Ohio."
MGM,MGM Resorts International,"MGM Resorts International, through its subsidiaries, owns and operates integrated casino, hotel, and entertainment resorts in the United States and China. The company operates through two segments, Domestic Resorts and MGM China. Its casino resorts offer gaming, hotel, convention, dining, entertainment, retail, and other resort amenities. Its casino operations include various slots, table games, and race and sports book wagering. The company operates 14 resorts in the United States; and MGM Macau resort and casino in China, as well as develops an integrated casino, hotel, and entertainment resort on the Cotai Strip, Macau. The company also owns and operates Shadow Creek golf course, Primm Valley Golf Club, and Fallen Oak golf course. The company serves premium gaming customers; leisure and wholesale travel customers; business travelers; and group customers, including conventions, trade associations, and small meetings. The company was formerly known as MGM MIRAGE and changed its name to MGM Resorts International in June 2010. MGM Resorts International was founded in 1986 and is based in Las Vegas, Nevada."
KORS,Michael Kors Holdings,"Michael Kors Holdings Limited design, markets, distributes, and retails branded women's and men's apparel and accessories. It operates in four segments: MK Retail, MK Wholesale, MK Licensing, and Jimmy Choo. The MK Retail segment sells women's apparel; handbags and small leather goods; men's apparel; footwear; and licensed products comprising watches, jewelry, fragrances, and beauty and eyewear. It operates collection stores and lifestyle stores, including concessions and outlets. As of March 31, 2018, this segment operated 379 Michael Kors retail stores, including concessions in the United States and Canada (North America), and Latin America (the Americas); and 450 international retail stores, including concessions in Europe and Asia, as well as e-commerce sites in North America, Canada, Europe, China, Japan, and South Korea. The MK Wholesale segment sells handbags and small leather goods; footwear; and women's and men's apparel to department stores and specialty shops in the Americas, Europe, and Asia. The MK Licensing segment licenses its trademarks to third parties to operate retail stores and/or sell the its products in Brazil, the Middle East, South Africa, Eastern Europe, Asia, and Australia. The Jimmy Choo segment sells luxury footwear, handbags, and small leather goods through directly operated Jimmy Choo stores in North America; Europe, the Middle East, and Africa; and Asia, as well as through Jimmy Choo e-commerce sites. It is also involved in the wholesale distribution activities to partners, multi-brand department stores, and specialty stores worldwide; and licensing agreements related to the manufacture and sale of fragrance, sunglasses, and eyewear. As of March 31, 2018, this segment operated 629 wholesale doors. The company sells its products under the names of MICHAEL KORS, MICHAEL MICHAEL KORS, JIMMY CHOO, and various other trademarks and logos. Michael Kors Holdings Limited was founded in 1981 and is based in London, the United Kingdom."
MCHP,Microchip Technology,"Microchip Technology Incorporated develops, manufactures, and sells semiconductor products for various embedded control applications. The company offers general purpose and specialized 8-bit, 16-bit, and 32-bit microcontrollers; 32-bit microprocessors; and microcontrollers for automotive networking, computing, lighting, power supplies, motor control, human machine interface, security, wired connectivity, and wireless connectivity. It also provides development tools that enable system designers to program microcontroller products for specific applications; analog, interface, mixed signal, and timing products comprising power management, linear, mixed-signal, high-voltage, thermal management, radio frequency (RF), drivers, safety, security, timing, USB, Ethernet, wireless, and other interface products; and memory products consisting of serial electrically erasable programmable read-only memory, serial flash memories, parallel flash memories, and serial static random access memories for the production of very small footprint devices. In addition, the company licenses its SuperFlash embedded flash and Smartbits one time programmable NVM technologies to foundries, integrated device manufacturers, and design partners for use in the manufacture of microcontroller products, gate array, RF, and analog products that require embedded non-volatile memory, as well as provides engineering services. Further, it provides wafer foundry and assembly and test subcontracting manufacturing services; and application specific integrated circuits, complex programmable logic devices, and aerospace products. It serves automotive, communications, computing, consumer, aerospace, defense, safety, security, medical, and industrial control markets. The company sells its products through a network of direct sales personnel and distributors in the Americas, Europe, and Asia. Microchip Technology Incorporated was founded in 1989 and is headquartered in Chandler, Arizona."
MU,Micron Technology,"Micron Technology, Inc. manufactures and sells memory and storage solutions worldwide. The company operates through four segments: Compute and Networking Business Unit, Mobile Business Unit, Storage Business Unit, and Embedded Business Unit. It offers memory and storage technologies, including DRAM, NAND, NOR Flash, and 3D XPoint memory under the Micron, Crucial, and Ballistix brands, as well as private labels. The company provides memory products for the cloud server, enterprise, client, graphics, and networking markets; memory products for smartphone and other mobile-device markets; SSDs and component-level solutions for the enterprise and cloud, client, and consumer SSD markets; other discrete storage products in component and wafer forms for the removable storage markets, as well as 3D XPoint memory products; and memory and storage products for the automotive, industrial, and consumer markets. It markets its products through its internal sales force, independent sales representatives, distributors, and e-tailers; and Web-based customer direct sales channel, as well as through channel and distribution partners primarily to original equipment manufacturers and retailers. The company has strategic collaboration with BMW Group. Micron Technology, Inc. was founded in 1978 and is headquartered in Boise, Idaho."
MSFT,Microsoft Corp.,"Microsoft Corporation develops, licenses, and supports software, services, devices, and solutions worldwide. Its company's Productivity and Business Processes segment offers Office 365 commercial products and services for businesses, such as Office, Exchange, SharePoint, Skype for Business, Microsoft Teams, and related Client Access Licenses (CALs); Office 365 consumer services, including Skype, Outlook.com, and OneDrive; LinkedIn online professional network; and Dynamics business solutions comprising financial management, enterprise resource planning, customer relationship management, supply chain management, and analytics applications for small and medium businesses, large organizations, and divisions of enterprises. The company's Intelligent Cloud segment licenses server products and cloud services, such as SQL Server, Windows Server, Visual Studio, System Center, and related CALs, as well as Azure, a cloud platform; enterprise services, including premier support and Microsoft consulting services to assist customers in developing, deploying, and managing Microsoft server and desktop solutions, as well as providing training and certification to developers and IT professionals on Microsoft products. Its More Personal Computing segment offers Windows OEM, volume, and other non-volume licensing of the Windows operating system; patent licensing, Windows Internet of Things, and MSN display advertising; devices comprising Surface, PC accessories, and other intelligent devices; Xbox hardware and software and services; and Bing and Bing Ads search advertising. The company markets and distributes its products through original equipment manufacturers, distributors, and resellers, as well as through online and Microsoft retail stores. Microsoft Corporation has collaboration with E.ON; a strategic alliance with Nielsen Holdings plc; and a strategic collaboration with Mastercard Incorporated. The company was founded in 1975 and is headquartered in Redmond, Washington."
MAA,Mid-America Apartments,"MAA, an S&P 500 company, is a real estate investment trust, or REIT, focused on delivering full-cycle and superior investment performance for shareholders through the ownership, management, acquisition, development and redevelopment of quality apartment communities in the Southeast, Southwest, and Mid-Atlantic regions of the United States.  As of September 30, 2018, MAA had ownership interest in 101,441 apartment units, including communities currently in development, across 17 states and the District of Columbia."
